Anzahl_Slots,Max_Domains,Max_Events,Mean_Cosine_Prev_Pseudonym,Avg_Utility_ThirdParty,Total_Resets,Total_Segments,kNN_Accuracy_k1,kNN_Accuracy_k3,kNN_Accuracy_k5,kNN_Accuracy_k10,kNN_Accuracy_k20,Utility_Score,Privacy_Score_k1,Privacy_Score_k3,Privacy_Score_k5,Privacy_Score_k10,Privacy_Score_k20,Privacy_Score_Avg,Pareto_Member,Chord_Distance,Plateau_Member
15,125,700,0.7526833022766335,322.44062625405377,520811,520811,0.0243677648897584,0.0495074028774353,0.0644379630998577,0.0923156384945786,0.1334150008352358,0.9964314608835491,0.6652637755047777,0.6703263963922355,0.6817533362038186,0.7048293337454905,0.7277124136061948,0.6899770510905034,True,0.023279513419069652,True
15,140,700,0.75361880447784,322.6611810819379,520455,520455,0.0244881882199229,0.049625808187067,0.0645070178978009,0.0927572989019223,0.1339020664610773,0.9968332772938243,0.6618461723303195,0.6674698534235265,0.6794074740919273,0.7008450677313989,0.7241229813086051,0.6867383097771554,True,0.01672820262501283,True
15,200,300,0.7563881044111782,323.52585615646626,519064,519064,0.0246559191159471,0.0498088867654085,0.0648744663471171,0.0932621025538276,0.1351875683923369,0.9984081709096121,0.6540503946276668,0.6603144827934175,0.6714972577543039,0.6927716488749405,0.7140278787642367,0.6785323325629131,True,0.000244706882615159,True
15,200,450,0.7573119766816445,323.78472724328014,518649,518649,0.0243478730316649,0.0496540049243322,0.0646352350047912,0.0930359453117619,0.1346575429625816,0.998879544755616,0.655925877276601,0.6596050195862972,0.6710020180529725,0.6919074695597276,0.713913711730022,0.6784708192411241,True,0.00021648594977816495,True
15,200,700,0.7573608734662869,324.2072945887141,517973,517973,0.0244008857604546,0.0497361831601261,0.0646307819133429,0.0928967339996486,0.13457072086769,0.999648865821097,0.6551727362562851,0.6588653979048626,0.6709271733228863,0.6924516261286277,0.7141070874608848,0.6783048042147094,True,3.600184141285884e-05,True
15,200,800,0.757478307521983,324.4001912433717,517665,517665,0.0243864275158645,0.0497194131339766,0.0646074198564708,0.0928341688157399,0.1345078380806119,1.0,0.6551074154838931,0.6587525562397137,0.6708224718586588,0.6924985611221613,0.7140773431520111,0.6782516695712877,True,0.0,True
15,105,300,0.7599338075605541,261.8245876897843,641386,641386,0.0211557470852185,0.0426810064454166,0.0570155881169841,0.0891428874343998,0.1558297187652988,0.8840116041317876,0.6897525024378921,0.70834618945778,0.7107193482515541,0.704527882070143,0.6366445424686529,0.6899980929372044,True,0.0,True
15,140,800,0.7540394552870272,322.6463027326751,520479,520479,0.0244486328939304,0.0496062281091071,0.0644790663984521,0.0929317032963866,0.1340457540073663,0.9968061726058375,0.6614617428925718,0.6667511068170424,0.6787022297949838,0.6991656746636961,0.7227645690170168,0.6857690646370622,False,-1.0,True
15,140,450,0.753640036456564,322.3719194044406,520922,520922,0.0243875282671877,0.0496542668576101,0.0645739669278702,0.0929659334794844,0.1341371644891173,0.9963062790495922,0.6630400605862842,0.6672048196843501,0.6789668564038623,0.6998338800696086,0.7232812923215706,0.6864653818131352,False,-1.0,True
15,125,800,0.7530295041026764,322.3632557550256,520936,520936,0.0243734355083925,0.0495070411720441,0.0644052244421579,0.0925296005651366,0.1335634319762888,0.9962904938447544,0.664477317920252,0.6696124818715481,0.6812305830667306,0.7031206788848402,0.7264920333925496,0.688986619027184,False,-1.0,True
15,125,450,0.7523976637530242,322.09553118808367,521369,521369,0.0244203241849822,0.0496769082933584,0.0645799807813659,0.0924105575897301,0.1334870312580916,0.9958026661381321,0.6652087822656125,0.6696009543471892,0.6815032476030326,0.7049806309995363,0.728059343531479,0.6898705917493698,False,-1.0,True
