Anzahl_Slots,Max_Domains,Max_Events,Max_Days,Session_Timeout,Mean_Cosine_Prev_Pseudonym,Avg_Utility_ThirdParty,Total_Resets,Total_Segments,Total_Segments_Rotation,Rotation_Threshold,Session_Gap,End_Of_Stream,kNN_Accuracy_k1_Segments,kNN_Accuracy_k1_Rotation,kNN_Accuracy_k3_Segments,kNN_Accuracy_k3_Rotation,kNN_Accuracy_k5_Segments,kNN_Accuracy_k5_Rotation,kNN_Accuracy_k10_Segments,kNN_Accuracy_k10_Rotation,kNN_Accuracy_k20_Segments,kNN_Accuracy_k20_Rotation,Utility_Score,Privacy_Score_k1_Segments,Privacy_Score_k3_Segments,Privacy_Score_k5_Segments,Privacy_Score_k10_Segments,Privacy_Score_k20_Segments,Privacy_Score_k1_Rotation,Privacy_Score_k3_Rotation,Privacy_Score_k5_Rotation,Privacy_Score_k10_Rotation,Privacy_Score_k20_Rotation,Privacy_Score_Avg_Segments,Privacy_Score_Avg_Rotation,Pareto_Member,Chord_Distance,Plateau_Member
150,10,10000,7,30,0.0714278100189332,126.7781015857868,115236,993387,115236,0.1160031286900271,0.7826345623608926,0.1013623089490802,0.0131449274049287,0.0098667083203165,0.0269864614696991,0.0199416848901385,0.0365346033318334,0.0274306640286021,0.0540524488442067,0.0420788642438127,0.0808607320208539,0.0665937727793398,0.6145697544837629,0.9694262056976156,0.9652229788108446,0.9651716255319567,0.9677056734687379,0.9691500882080194,1.0,1.0,1.0,1.0,1.0,0.9673353143434349,1.0,True,0.0,True
150,10,10000,7,60,0.0717413827175455,144.87769575615766,115236,869283,115236,0.132564423783739,0.7516021824883266,0.1158333937279344,0.0115739063112933,0.0098840640077753,0.0238437885015581,0.0199677184213266,0.0324232729732434,0.0274566975597903,0.0487321160082504,0.0420962199312714,0.0731453393198762,0.0666371619979867,0.6933415817661968,0.999691043316179,0.999691043316179,0.999691043316179,0.999691043316179,0.999691043316179,0.9995015679277061,0.9995297259887579,0.9995669569331618,0.9996314324805173,0.9995913110755233,0.9996910433161791,0.9995641988811332,True,0.0840196106524837,True
150,10,7500,7,30,0.0758350010852532,126.57359858169714,117289,994992,117289,0.1178793397333848,0.7813238699406628,0.1007967903259523,0.0132131715631884,0.010870584624304,0.0271499670349108,0.0215280205304845,0.0367862254168877,0.0296532496653565,0.0543853618923569,0.0452472098832797,0.0814036695772428,0.0719419553410805,0.6119213865845775,0.9637557854400545,0.9590713016540399,0.9586977415365342,0.9613425830786462,0.9626368443790798,0.9846981746523105,0.985827923548388,0.9850639401082308,0.9847755050055695,0.9833646268164373,0.961100851217671,0.9847460340261872,False,-1.0,False
150,10,7500,7,60,0.0761581676978119,144.57483607009036,117289,871104,117289,0.1346440838292557,0.7502238538681948,0.1151320623025494,0.0116771361398868,0.0108876365217539,0.0240855282492101,0.0215791762228341,0.0327412111527441,0.0296958794089812,0.0491617533612519,0.0452557358320047,0.0738407813533171,0.072018688879605,0.6902651525805601,0.9933303108408497,0.9926641689801321,0.992645922111579,0.9927313854159667,0.9925585593494617,0.9841936064294955,0.9851925268487391,0.9845423400678013,0.984427811926518,0.9828698416576308,0.9927860693395978,0.9842452253860369,False,-1.0,True
65,10,10000,7,30,0.0874824962912663,133.18005149978586,102153,945635,102153,0.1080258239172619,0.8259592760420247,0.0660149000407133,0.0137346862161404,0.0115121435493818,0.0280880043568607,0.0226816637788415,0.0379988050357696,0.0310514620226522,0.0559518207342156,0.0471939150098381,0.0837743949832652,0.0745548344150441,0.6536371533854304,0.942130502324483,0.9372148845872527,0.936949561911234,0.9403581697895567,0.9416814895133934,0.9662181163579207,0.9672033129933123,0.9669234564057525,0.9666132046328358,0.9658827607719855,0.9396669216251838,0.9665681702323614,False,-1.0,False
65,10,10000,7,60,0.0882259332511007,154.14143493586604,102153,817040,102153,0.1250281503965534,0.7985667776363459,0.0764050719671007,0.0122233917556056,0.0115317220248059,0.0251089297953588,0.022759977680538,0.0341072652501713,0.0311591436374849,0.0509277391559776,0.0473799105263673,0.0765201214138842,0.0747799868824214,0.7448638659893376,0.9708094577758923,0.969449022251438,0.9691835281699734,0.9701217633734422,0.9699551285578322,0.9652718813292516,0.9659855462075602,0.9656777090600395,0.9652418807708658,0.9646327437813447,0.9699037800257158,0.9653619522298124,True,0.12775249285004905,True
150,10,5000,7,30,0.0860906134792913,125.92586615472298,121883,1000110,121883,0.121869594344622,0.7781044085150634,0.1000259971403145,0.0134325224225335,0.0128812057464945,0.0275559688434272,0.0252373177555524,0.0373488916219215,0.0348448922327149,0.0551009388967213,0.0526652609469737,0.0827658957514673,0.0843842045240107,0.6051677218985594,0.9493823346003621,0.9444738170969584,0.943826576451547,0.9468944008441454,0.9470853557602625,0.952643193514468,0.95273854229527,0.9502138206436888,0.9491924006034469,0.9446608662511126,0.9463324969506551,0.9498897646615972,False,-1.0,False
150,10,5000,7,60,0.0864260423917977,143.73841467381442,121883,876173,121883,0.139108372433298,0.7467166872295768,0.1141749403371252,0.0119257269968373,0.0128976149257894,0.0245373915881909,0.0252537269348473,0.0333883833443851,0.0348613014120098,0.0500551831658816,0.0527473068434482,0.0754656899950124,0.0844908641894275,0.6826902885483006,0.9783757357737395,0.9775470959872011,0.9770467984059605,0.97719155802881,0.9759446560197329,0.952133560179646,0.9523063713096207,0.949805116672085,0.9485801099216148,0.9440852126362443,0.9772211688430887,0.9493820741438421,False,-1.0,False
65,10,7500,7,30,0.0911393393620793,132.87303285433944,104039,947820,104039,0.1097666223544554,0.8246586904686544,0.0655746871768901,0.0138950433626637,0.0127644441026922,0.028333438838598,0.024942569613318,0.0383195121436559,0.0340641490210401,0.0564316009368867,0.0515095300800661,0.0843715051381063,0.0811810955507069,0.6506856552330066,0.9354067645787247,0.9308958791062529,0.9306297392621785,0.9338429006957971,0.9356909394882444,0.9489434978865383,0.9495905503811642,0.9489607548645591,0.9481875348443731,0.9470489638276645,0.9332932446262395,0.9485462603608598,False,-1.0,False
65,10,7500,7,60,0.0918887718761758,153.7224348106295,104039,819267,104039,0.1269903462485368,0.7971454971334132,0.07586415661805,0.0124367269766754,0.0128125030036813,0.025412960609911,0.0250290756350983,0.034507675763823,0.0341987139438095,0.0515387535443268,0.0517017656840223,0.0772934830769456,0.08143100183585,0.7414250096286674,0.9630488012732741,0.9624756786874276,0.9621826055700293,0.9628039977905105,0.9632539315444909,0.9476804292617539,0.9483161136543885,0.9475809634593056,0.9467888711262276,0.9457361416810977,0.9627530029731466,0.9472205038365548,False,-1.0,True
150,10,10000,20,30,0.0809365394438527,133.4340409075739,42367,943835,42367,0.0448881425249116,0.8341616913973311,0.1209501660777572,0.0133519100266466,0.0143507918899143,0.0273734286183496,0.0270965610026671,0.0371304306367108,0.0379068614723723,0.0548242012639921,0.0573795642835225,0.0818405759481265,0.0915807114027427,0.705947780911446,0.9560293426500226,0.9515720213407581,0.9507554306416901,0.9536523957695401,0.9558634390619076,0.9416776404279218,0.946295904506915,0.9406974340185215,0.9380785874123758,0.9331975456767572,0.9535745258927836,0.9399894224084981,False,-1.0,False
150,10,10000,20,60,0.081256985591238,153.80015460650446,42367,818853,42367,0.0517394452972633,0.8088496958550558,0.1394108588476808,0.0117249371987401,0.0143507918899143,0.0241545185765943,0.0271437675549366,0.0329082265070775,0.0379068614723723,0.0493690564728956,0.057426770835792,0.0738765077492541,0.091722331059551,0.7945838009020367,0.9873762901444773,0.9868769579392788,0.9862073227971248,0.9864492995416317,0.987391948112329,0.9413619114774183,0.9456876591553958,0.940381705068018,0.9376007201405765,0.932556297020326,0.9868603637069683,0.9395176585723469,True,0.1723249598782953,True
65,10,5000,7,30,0.1022857427730717,132.30615801765137,108214,951881,108214,0.1136843786145537,0.8214283087906997,0.0648873125947466,0.0140479744842054,0.014970336555344,0.0287577964052229,0.0290905058495203,0.0389954206460681,0.040004066017336,0.0573506562269863,0.0605466945127247,0.0859246061219837,0.0952834198902175,0.6446427566213057,0.9214482367815241,0.9152175906144233,0.9139215850717126,0.9172819309186991,0.9184985621337642,0.9138790240248094,0.9129054552698241,0.9096663776292395,0.9061656532316541,0.9036517614075561,0.9172735811040246,0.9092536543126165,False,-1.0,False
65,10,5000,7,60,0.1032313905520697,152.9437771878393,108214,823438,108214,0.1314173016061925,0.7935740152871255,0.0750086831066819,0.0126299733556139,0.0150997098342173,0.0259363789380621,0.0293030476648123,0.0352898457443061,0.0401704030901731,0.052665774472395,0.0607869591734895,0.0791510714832203,0.095569889293437,0.7344604043261315,0.9481123674951522,0.9455078506017529,0.9443809500926148,0.9447873534211932,0.944650737786877,0.9115349038128162,0.9106567082433816,0.9079418204170626,0.9044086993355155,0.9020615703106514,0.945487851879518,0.9073207404238854,False,-1.0,False
65,10,10000,20,30,0.0955358083441552,139.19682346699676,40266,904760,40266,0.0445046200097263,0.8772072151730845,0.078288164817189,0.0138125027631637,0.0166641831818407,0.0283157964543083,0.0309690557790691,0.0382576594898094,0.0423930859782446,0.0564061187497236,0.0629811751850196,0.0840885980812591,0.1001589430288581,0.7328276272650587,0.9326813454048892,0.9267593610567983,0.9268219627667761,0.9296658273140059,0.932490390395749,0.9020375441623485,0.9079155513999213,0.9049299087662934,0.9044546173926863,0.8990957036336611,0.9296837773876436,0.9036866650709822,False,-1.0,False
