Anzahl_Slots,Max_Domains,Max_Events,Mean_Cosine_Prev_Pseudonym,Avg_Utility_ThirdParty,Total_Resets,Total_Segments,kNN_Accuracy_k1,kNN_Accuracy_k3,kNN_Accuracy_k5,kNN_Accuracy_k10,kNN_Accuracy_k20
5,5,50,0.4902419262517113,303.7155677251567,552926,552926,0.034521798577024775,0.06248575758781465,0.0796725059049493,0.10964758394432528,0.15289749442059156
5,5,100,0.49759152044424304,327.86713289443884,512196,512196,0.030214995821911925,0.05627142734421979,0.07177525790908168,0.10011401885215816,0.1413267577255582
5,5,200,0.5000299931630784,334.92400140405744,501404,501404,0.028611658463035795,0.05362940862059337,0.06867117135084683,0.09602037478759642,0.13584255410806456
5,5,450,0.5021259454897089,336.80077415214294,498610,498610,0.027616774633481077,0.05245382162411504,0.06724494093580152,0.0942981488538136,0.1340145604781292
5,5,700,0.5025998460848459,336.9805475735636,498344,498344,0.02750710352688103,0.05235540108840479,0.06712030244168686,0.09411972452763553,0.13381920922093976
5,5,800,0.5028391693614124,336.9399804174926,498404,498404,0.027461657611094613,0.05240527764624682,0.06717040794215134,0.09414651567804432,0.13379106106692562
5,10,50,0.5002726557957001,320.1807348825149,524492,524492,0.03535230279966139,0.06371307855982551,0.0807238241956026,0.11126003828466402,0.15503954302448847
5,10,100,0.5146275442919964,352.8640462942729,475912,475912,0.03018835414950663,0.056594496461530704,0.07212677974079242,0.10102077695036057,0.14226579703810788
5,10,200,0.5191081371223552,364.23944960297064,461049,461049,0.028131500122546626,0.053480215768822836,0.0682226834891736,0.0967858080160677,0.13601591154085574
5,10,450,0.5190016091581828,366.39227211240564,458340,458340,0.027865776497796396,0.052469782257712615,0.06716411397652398,0.09548370205524283,0.1343653183226426
5,10,700,0.5201479494966101,366.3267338827543,458422,458422,0.02738961044627003,0.05192159189567691,0.06673327196338745,0.09497144552399317,0.1339988045948929
5,10,800,0.5199723951847695,366.324336587228,458425,458425,0.027291269018923488,0.05204559088182364,0.06694006653214811,0.09510825107705731,0.13406118776244752
5,15,50,0.5006238139966928,320.6012821589755,523804,523804,0.03527273560339363,0.06369367167871952,0.08089285305190491,0.11122099105772389,0.15508663545906484
5,15,100,0.5161179909899238,354.51029128017194,473702,473702,0.03043052383143833,0.05746017538452445,0.07317680735990137,0.10196283739566225,0.14299918514171356
5,15,200,0.5210665096168874,366.0496546192092,458769,458769,0.02839555418958125,0.05349533207344001,0.06799718376786575,0.09627503166081405,0.13589627895520404
5,15,450,0.5202836530407264,368.3160593579064,455946,455946,0.027860755440337233,0.05181096006983283,0.06637189491738056,0.0945682164115926,0.13357722186399268
5,15,700,0.52125920254318,367.89406071387106,456469,456469,0.027331538395816583,0.05116667287373294,0.06584455899524393,0.09358138230635596,0.13255883751141917
5,15,800,0.5207877526440448,367.9754803141325,456368,456368,0.02717543736633594,0.05122401220068015,0.06598403043158153,0.09370069768257196,0.13278319251130666
5,20,50,0.5006787894209415,320.6667863287359,523697,523697,0.035331498939272135,0.06372196136315465,0.08088264779061174,0.11125899136332651,0.15513550774589124
5,20,100,0.5164622378076483,354.6330685182604,473538,473538,0.030468515726298627,0.05747585199075893,0.07310289776110893,0.10197914422918541,0.14305926873872846
5,20,200,0.5225228715203324,366.37228846007,458365,458365,0.028156600089448366,0.05351193917511154,0.0682883728033336,0.09666968463997033,0.13647638890403935
5,20,450,0.5207434839789222,368.7795148153272,455373,455373,0.027928752912447598,0.05202987441064798,0.06639611922533835,0.09457302035913416,0.1333895509834795
5,20,700,0.521379716042975,368.3912006721465,455853,455853,0.02748912478364736,0.05147053984508164,0.06607393172799127,0.09396450171436845,0.1327072543122454
5,20,800,0.5211965323340367,368.3209062595956,455940,455940,0.027220686932491116,0.0514080800105277,0.06599991226915822,0.09381936219678028,0.13283765407729087
5,30,50,0.5007157114045105,320.68821873651325,523662,523662,0.03534149890578274,0.06372812997696987,0.08088805374459097,0.11126451795241969,0.15512296099392356
5,30,100,0.516541669819678,354.72445798198623,473416,473416,0.030465805971914763,0.05752023590246211,0.07316609493553239,0.10201176132619091,0.14310035993713774
5,30,200,0.5225448119700954,366.3970685133549,458334,458334,0.028223958946968806,0.053644285608311845,0.06834971876404543,0.09671331387154346,0.13652489232742934
5,30,450,0.5210716158089955,368.8605166570387,455273,455273,0.027831652656757595,0.051927085506937594,0.06655347450870137,0.09465090176663232,0.13354844236315352
