Anzahl_Slots,Max_Domains,Max_Events,Max_Days,Session_Timeout,Mean_Cosine_Prev_Pseudonym,Avg_Utility_ThirdParty,Total_Resets,Total_Segments,kNN_Accuracy_k1,kNN_Accuracy_k3,kNN_Accuracy_k5,kNN_Accuracy_k10,kNN_Accuracy_k20
10,10,200,7,30,0.560613368504805,112.69319624713098,586394,1117545,0.03503393599362889,0.06502288498449726,0.08626050852538376,0.12361560384593014,0.18688732892187787
10,10,200,7,60,0.5751513210708986,127.76937545653762,586394,985680,0.037246367989611236,0.06877079782485188,0.09117766415063712,0.13080107134161187,0.19773354435516596
10,10,200,20,30,0.5629515899902179,112.9558902404242,582659,1114946,0.03504295275286875,0.06504619954688388,0.08632436010353865,0.1236463469979712,0.18697497457275958
10,10,200,20,60,0.5775306654282776,128.12280243061525,582659,982961,0.037136773483383366,0.06885013749273877,0.09219083971795422,0.1321863227533951,0.19848905500828617
10,10,450,7,30,0.4703122358606412,148.4989334795451,273030,848085,0.028837911294268853,0.054810543754458575,0.07310941709852196,0.10471591880530844,0.1557532558646834
10,10,450,7,60,0.4872789152410865,176.607042140941,273030,713107,0.030692448678809773,0.05793240004655683,0.07715111476959279,0.11062294999207692,0.16436804013983877
10,10,450,20,30,0.4770514937460277,149.2427849235298,266809,843858,0.028914817421888516,0.05495118847009805,0.07328958189648022,0.10491220086791854,0.1560949828051639
10,10,450,20,60,0.49427066613415943,177.69673530548837,266809,708734,0.030784469208475957,0.058055631590977715,0.0773562436682874,0.1108977416068652,0.16476139143881907
10,10,700,7,30,0.41947827697667384,162.4783329484452,185587,775117,0.02582061804863008,0.049549938912448056,0.06607002555743198,0.0951443459503533,0.141169655677788
10,10,700,7,60,0.43586956624783724,196.80633269627154,185587,639917,0.027059759312535844,0.051587940311009085,0.06868547014690968,0.09928006288315516,0.14718471301746947
10,10,700,20,30,0.4304260935189052,163.71434811150903,177642,769265,0.025874048604837083,0.04966428993909771,0.066293149954827,0.0952974592630628,0.14153640163012746
10,10,700,20,60,0.4473467956503993,198.66126238677987,177642,633942,0.02719649431651476,0.0519053793564711,0.06905205839019973,0.09960690410163706,0.1476917446706481
10,50,200,7,30,0.5619422697844237,112.83444818151031,584724,1116146,0.03496675166152098,0.06516351803437902,0.0872403789468403,0.12500963135647128,0.18767347640900026
10,50,200,7,60,0.5764286282068605,127.96411022373955,584724,984180,0.03724928366762178,0.06901176614034019,0.09229002824686541,0.13231116259220874,0.19866284622731614
10,50,200,20,30,0.5643329285273945,113.09759875856383,580905,1113549,0.034960293619768865,0.06516641836147309,0.08729476655270671,0.12504883036130426,0.1877609337352914
10,50,200,20,60,0.5788981368204186,128.32672338162155,580905,981399,0.037279434766083926,0.06905957719541185,0.09240380314224897,0.13243135564637828,0.1988335019701467
10,50,450,7,30,0.4758440769982721,149.10178581576406,269352,844656,0.0289028906442386,0.05498451440586464,0.07327953628459397,0.1050984069254229,0.1560587979011574
10,50,450,7,60,0.4926806582005673,177.434614338789,269352,709781,0.030801049901307588,0.05814328645032764,0.0773759793513774,0.11117513711975947,0.1649212926240629
10,50,450,20,30,0.483542659676407,149.93055606812962,262727,839987,0.02904449711721729,0.0552413311158387,0.07363447291446178,0.10548258484952744,0.15668575823197264
10,50,450,20,60,0.5006297886748825,178.63485727902503,262727,705012,0.0309512462199225,0.05841602696124321,0.07775896013117507,0.11158817154885307,0.16559008924670784
10,50,700,7,30,0.42828731041840684,163.6481880931838,180254,769576,0.025944156262669313,0.04990930070584322,0.06639630133995862,0.09583588885308274,0.14223156647296692
10,50,700,7,60,0.444216915948611,198.47372825396624,180254,634541,0.02727798518929431,0.05192257080314747,0.06897899426514599,0.09990213398346207,0.14830877752580213
10,50,700,20,30,0.4418456964169966,164.97514756623778,171487,763386,0.02609164957177627,0.050253737951704645,0.06689145465072716,0.09616236085021208,0.14265522291475086
10,50,700,20,60,0.45883113870093434,200.58279354451327,171487,627869,0.027566259840826668,0.05250458296236954,0.06964987919454536,0.1004047022547697,0.148949860560085
