Anzahl_Slots,Max_Domains,Max_Events,Max_Days,Session_Timeout,Mean_Cosine_Prev_Pseudonym,Avg_Utility_ThirdParty,Total_Resets,Total_Segments,Total_Segments_Rotation,Rotation_Threshold,Session_Gap,End_Of_Stream,kNN_Accuracy_k1_Segments,kNN_Accuracy_k1_Rotation,kNN_Accuracy_k3_Segments,kNN_Accuracy_k3_Rotation,kNN_Accuracy_k5_Segments,kNN_Accuracy_k5_Rotation,kNN_Accuracy_k10_Segments,kNN_Accuracy_k10_Rotation,kNN_Accuracy_k20_Segments,kNN_Accuracy_k20_Rotation
10,10,200,7,30,0.560613368504805,112.69319624713098,586394,1117545,586394,0.5247162306663267,0.4649074533911386,0.010376315942534752,0.03488360647669669,0.05029724042196885,0.06503988653700746,0.09180346320051024,0.086192502315343,0.12175261001988424,0.12361918312014282,0.17420710307404236,0.18686316882094234,0.266268072319976
10,10,200,7,60,0.5751513210708986,127.76937545653762,586394,985680,586394,0.5949131563996429,0.39332237643048457,0.011764467169872575,0.03709520331141953,0.050788377780127354,0.06878094310526743,0.0926373735065502,0.09115027189351514,0.12283208900500346,0.13079904228552877,0.175480990596766,0.19770107945783622,0.26738677408022593
10,10,200,20,30,0.5629515899902179,112.9558902404242,582659,1114946,582659,0.5225894348246463,0.4667481653820006,0.010662399793353221,0.03488958209635265,0.05051668299983352,0.06506144692209309,0.09211734479343836,0.08625260774961299,0.12227392008018412,0.1236463469979712,0.17491706126568027,0.18694896434446154,0.2672334933468804
10,10,200,20,60,0.5775306654282776,128.12280243061525,582659,982961,582659,0.5927590209581052,0.3951469081682793,0.012094070873615534,0.037123548136701254,0.050986940903684656,0.06882266946501438,0.09290854513531929,0.09122538941015972,0.12330368191343478,0.13087192676006473,0.176171654432524,0.19784711702702346,0.26830959446262737
10,10,450,7,30,0.4703122358606412,148.4989334795451,273030,848085,273030,0.32193706998708854,0.6621116987094454,0.015951231303466044,0.0288249408962545,0.05167564003955609,0.05478342383133766,0.09464161447459986,0.07249273362929423,0.1251071310844962,0.10377851276699859,0.17742372633043987,0.1553382031282242,0.2696260484195876
10,10,450,7,60,0.4872789152410865,176.607042140941,273030,713107,273030,0.38287381837508255,0.5981556764973559,0.0189705051275615,0.03067982785192124,0.052701168369776216,0.05789874450818741,0.09617258176757133,0.07650044102778406,0.12691645606709887,0.10962730698198167,0.1796652382522067,0.16390948342955544,0.27158920265172326
10,10,450,20,30,0.4770514937460277,149.2427849235298,266809,843858,266809,0.31617760334084644,0.6672141521440811,0.01660824451507244,0.028899411986376855,0.05265564504945485,0.05492748780008011,0.09636856327934964,0.07266506924150745,0.12728206319876767,0.10397128426820626,0.18053738816906476,0.15567785101284815,0.2743348237878033
10,10,450,20,60,0.49427066613415943,177.69673530548837,266809,708734,266809,0.376458586719418,0.6037667164267553,0.01977469685382668,0.030771770509104967,0.053678848914391945,0.05802741225904218,0.09786026708244475,0.07669873323418941,0.12908859896030495,0.10989736628975046,0.18276369987519162,0.16430282729486662,0.2761788395443932
10,10,700,7,30,0.41947827697667384,162.4783329484452,185587,775117,185587,0.23943095042425852,0.7421202218503787,0.01844882772536275,0.025818037793004154,0.050730924041015805,0.049539617889944355,0.09251725605780577,0.06558364737194514,0.12233076670240911,0.0943096332553666,0.1740100330303308,0.14081487052922334,0.26485691346915463
10,10,700,7,60,0.43586956624783724,196.80633269627154,185587,639917,185587,0.29001729911847945,0.6876360528005976,0.022346648080922994,0.02705507120454684,0.051695431253266665,0.05157543868970507,0.09412297197540775,0.06819790691605318,0.12432982913673911,0.09841432560785227,0.1766287509362186,0.14679560005438205,0.2672816522709026
10,10,700,20,30,0.4304260935189052,163.71434811150903,177642,769265,177642,0.2309243238675879,0.7496896388110729,0.0193860373213392,0.02587274866268451,0.05248195809549543,0.04964739069111425,0.09559113272762072,0.06579267222608594,0.12615259904752255,0.09445899657465243,0.17925378007453194,0.1411919169596953,0.2732349331802164
10,10,700,20,60,0.4473467956503993,198.66126238677987,177642,633942,177642,0.2802180641131208,0.6962577018086828,0.023524234078196427,0.027193339453767063,0.053450197588408146,0.051884872748611074,0.09737562063025636,0.06855516750743759,0.12833676720595355,0.098745626571516,0.18203465396696727,0.14731158370955072,0.275751230001914
10,50,200,7,30,0.5619422697844237,112.83444818151031,584724,1116146,584724,0.5238777005875576,0.46574552074728576,0.010376778665156709,0.03495331255946803,0.05046312448266191,0.06514111953095741,0.09205539707622741,0.08635966979230315,0.12213112511201867,0.12374545982335644,0.17460716508985435,0.18709111532003878,0.2669515874156012
10,50,200,7,60,0.5764286282068605,127.96411022373955,584724,984180,584724,0.5941230262756813,0.39410880123554637,0.011768172488772379,0.037233026478896133,0.05101723206162224,0.06897823568859356,0.0930524486766406,0.0913410148550062,0.12329748736155861,0.13098721778536446,0.17599414424583223,0.19802779979272084,0.2681367619594886
10,50,200,20,30,0.5643329285273945,113.09759875856383,580905,1113549,580905,0.5216699040634943,0.4676561157165064,0.0106739802199993,0.0349486192345375,0.05068815038603558,0.06514576367990992,0.09237482893072017,0.08640661524548987,0.12266549607939337,0.12378260857851787,0.17537463096375483,0.1871772144737232,0.2679973489641163
10,50,200,20,60,0.5788981368204186,128.32672338162155,580905,981399,580905,0.591915214912589,0.3959735031317538,0.01211128195565718,0.03726618836986791,0.05121663611089593,0.06902697068164936,0.09333023471996282,0.09144598680047565,0.12379304705588694,0.1311046781176667,0.1767208063280571,0.19819258018400263,0.26913522865184497
