Anzahl_Slots,Max_Domains,Max_Events,Mean_Cosine_Prev_Pseudonym,Avg_Utility_ThirdParty,Total_Resets,Total_Segments,kNN_Accuracy_k1,kNN_Accuracy_k3,kNN_Accuracy_k5,kNN_Accuracy_k10,kNN_Accuracy_k20
35,20,450,1.0,11.763569535560672,575425,575425,0.0006881869922231394,0.0013537819872268323,0.0017934570100360603,0.001996784985011079,0.008067080853282357
35,20,700,1.0,11.77328811200974,574950,574950,0.0006887555439603444,0.0013549004261240109,0.0017949386903208975,0.001998434646490999,0.008075484824767372
35,20,800,1.0,11.773554319864612,574937,574937,0.0006887711175311382,0.001389717482089342,0.0018297656960675692,0.002033266253519951,0.00810523587801794
35,30,450,1.0,11.763569535560672,575425,575425,0.0006881869922231394,0.0013537819872268323,0.0017934570100360603,0.001996784985011079,0.008067080853282357
35,30,700,1.0,11.77328811200974,574950,574950,0.0006887555439603444,0.0013549004261240109,0.0017949386903208975,0.001998434646490999,0.008075484824767372
35,30,800,1.0,11.773554319864612,574937,574937,0.0006887711175311382,0.001389717482089342,0.0018297656960675692,0.002033266253519951,0.00810523587801794
35,45,450,1.0,11.763569535560672,575425,575425,0.0006881869922231394,0.0013537819872268323,0.0017934570100360603,0.001996784985011079,0.008067080853282357
35,45,700,1.0,11.77328811200974,574950,574950,0.0006887555439603444,0.0013549004261240109,0.0017949386903208975,0.001998434646490999,0.008075484824767372
35,45,800,1.0,11.773554319864612,574937,574937,0.0006887711175311382,0.001389717482089342,0.0018297656960675692,0.002033266253519951,0.00810523587801794
35,50,450,1.0,11.763569535560672,575425,575425,0.0006881869922231394,0.0013537819872268323,0.0017934570100360603,0.001996784985011079,0.008067080853282357
35,50,700,1.0,11.77328811200974,574950,574950,0.0006887555439603444,0.0013549004261240109,0.0017949386903208975,0.001998434646490999,0.008075484824767372
35,50,800,1.0,11.773554319864612,574937,574937,0.0006887711175311382,0.001389717482089342,0.0018297656960675692,0.002033266253519951,0.00810523587801794
35,55,450,1.0,11.763569535560672,575425,575425,0.0006881869922231394,0.0013537819872268323,0.0017934570100360603,0.001996784985011079,0.008067080853282357
35,55,700,1.0,11.77328811200974,574950,574950,0.0006887555439603444,0.0013549004261240109,0.0017949386903208975,0.001998434646490999,0.008075484824767372
35,55,800,1.0,11.773554319864612,574937,574937,0.0006887711175311382,0.001389717482089342,0.0018297656960675692,0.002033266253519951,0.00810523587801794
